method,sigma_y,dim_x,dim_y,seed,sliced_wasserstein_distance
diffusion_posterior_sampling,0.1,10,1,0,5.315507511118263
diffusion_posterior_sampling,0.1,10,1,10,0.8080391548338515
diffusion_posterior_sampling,0.1,10,1,100,14.422865009593794
diffusion_posterior_sampling,0.1,10,1,101,1.2659617709104356
diffusion_posterior_sampling,0.1,10,1,404,2.027279657724764
diffusion_posterior_sampling,0.1,10,1,1000,0.7753705966022257
diffusion_posterior_sampling,0.1,10,2,0,7.790787791962114
diffusion_posterior_sampling,0.1,10,2,10,0.7777735218604604
diffusion_posterior_sampling,0.1,10,2,100,10.350865679058929
diffusion_posterior_sampling,0.1,10,2,101,0.26920600976209685
diffusion_posterior_sampling,0.1,10,2,404,5.4212194185612415
diffusion_posterior_sampling,0.1,10,2,1000,0.12306061378548931
diffusion_posterior_sampling,0.1,10,4,0,0.931601907650689
diffusion_posterior_sampling,0.1,10,4,10,0.09658974275878877
diffusion_posterior_sampling,0.1,10,4,100,7.004643611218867
diffusion_posterior_sampling,0.1,10,4,101,0.10377456657945804
diffusion_posterior_sampling,0.1,10,4,404,0.1246733452337256
diffusion_posterior_sampling,0.1,10,4,1000,0.0953785510735921
diffusion_posterior_sampling,0.1,100,1,0,3.569574691027686
diffusion_posterior_sampling,0.1,100,1,10,1.3193455320345682
diffusion_posterior_sampling,0.1,100,1,100,4.567754483826166
diffusion_posterior_sampling,0.1,100,1,101,16.533922465288022
diffusion_posterior_sampling,0.1,100,1,404,2.251637946022055
diffusion_posterior_sampling,0.1,100,1,1000,2.171021562208063
diffusion_posterior_sampling,0.1,100,2,0,0.206535423528633
diffusion_posterior_sampling,0.1,100,2,10,0.06425835567134927
diffusion_posterior_sampling,0.1,100,2,100,9.058671523670588
diffusion_posterior_sampling,0.1,100,2,101,9.522715540193557
diffusion_posterior_sampling,0.1,100,2,404,7.525009733066101
diffusion_posterior_sampling,0.1,100,2,1000,0.1216630314740587
diffusion_posterior_sampling,0.1,100,4,0,2.302443677541794
diffusion_posterior_sampling,0.1,100,4,10,0.0794183695907938
diffusion_posterior_sampling,0.1,100,4,100,7.495660912021981
diffusion_posterior_sampling,0.1,100,4,101,2.1169423778433862
diffusion_posterior_sampling,0.1,100,4,404,0.0595611332909353
diffusion_posterior_sampling,0.1,100,4,1000,0.0628028099252359
diffusion_posterior_sampling,0.5,10,1,0,6.100855153702056
diffusion_posterior_sampling,0.5,10,1,10,1.6347524842884351
diffusion_posterior_sampling,0.5,10,1,100,7.28703368437622
diffusion_posterior_sampling,0.5,10,1,101,2.3407870226496854
diffusion_posterior_sampling,0.5,10,1,404,4.90954546384105
diffusion_posterior_sampling,0.5,10,1,1000,1.9680467074903143
diffusion_posterior_sampling,0.5,10,2,0,8.6527909009772
diffusion_posterior_sampling,0.5,10,2,10,3.2230539789001282
diffusion_posterior_sampling,0.5,10,2,100,9.073403753748474
diffusion_posterior_sampling,0.5,10,2,101,2.2223062055266625
diffusion_posterior_sampling,0.5,10,2,404,3.965438356624476
diffusion_posterior_sampling,0.5,10,2,1000,0.2206062399187152
diffusion_posterior_sampling,0.5,10,4,0,0.8811974087910057
diffusion_posterior_sampling,0.5,10,4,10,1.1219678515016913
diffusion_posterior_sampling,0.5,10,4,100,7.121180287955949
diffusion_posterior_sampling,0.5,10,4,101,0.7202702457733369
diffusion_posterior_sampling,0.5,10,4,404,0.8672640798657621
diffusion_posterior_sampling,0.5,10,4,1000,0.4257911735751683
diffusion_posterior_sampling,0.5,100,1,0,3.0516273908874405
diffusion_posterior_sampling,0.5,100,1,10,1.7586671255683262
diffusion_posterior_sampling,0.5,100,1,100,4.789147672807727
diffusion_posterior_sampling,0.5,100,1,101,14.360148554167859
diffusion_posterior_sampling,0.5,100,1,404,4.859622007584638
diffusion_posterior_sampling,0.5,100,1,1000,8.162257948295032
diffusion_posterior_sampling,0.5,100,2,0,0.7098194145824845
diffusion_posterior_sampling,0.5,100,2,10,0.7708299001585418
diffusion_posterior_sampling,0.5,100,2,100,6.611039803698996
diffusion_posterior_sampling,0.5,100,2,101,5.375181803329067
diffusion_posterior_sampling,0.5,100,2,404,9.521606385630568
diffusion_posterior_sampling,0.5,100,2,1000,0.11527998460688457
diffusion_posterior_sampling,0.5,100,4,0,2.1615335506046605
diffusion_posterior_sampling,0.5,100,4,10,0.15252528244292415
diffusion_posterior_sampling,0.5,100,4,100,7.312373269785545
diffusion_posterior_sampling,0.5,100,4,101,2.7003499062934915
diffusion_posterior_sampling,0.5,100,4,404,0.3984514338458559
diffusion_posterior_sampling,0.5,100,4,1000,0.237311695626443
diffusion_posterior_sampling,1.0,10,1,0,7.135181526053145
diffusion_posterior_sampling,1.0,10,1,10,3.061502597147056
diffusion_posterior_sampling,1.0,10,1,100,4.63468874464122
diffusion_posterior_sampling,1.0,10,1,101,4.223039448292534
diffusion_posterior_sampling,1.0,10,1,404,3.3554348574368777
diffusion_posterior_sampling,1.0,10,1,1000,4.5162422019359765
diffusion_posterior_sampling,1.0,10,2,0,9.797461644515373
diffusion_posterior_sampling,1.0,10,2,10,4.977471835595175
diffusion_posterior_sampling,1.0,10,2,100,10.545949928844706
diffusion_posterior_sampling,1.0,10,2,101,3.8318016243701574
diffusion_posterior_sampling,1.0,10,2,404,7.62231599642651
diffusion_posterior_sampling,1.0,10,2,1000,0.5690243392210886
diffusion_posterior_sampling,1.0,10,4,0,0.954458947302876
diffusion_posterior_sampling,1.0,10,4,10,3.3117882738430664
diffusion_posterior_sampling,1.0,10,4,100,7.74111485009642
diffusion_posterior_sampling,1.0,10,4,101,1.2891136173406237
diffusion_posterior_sampling,1.0,10,4,404,1.866079815930344
diffusion_posterior_sampling,1.0,10,4,1000,1.0306518535407252
diffusion_posterior_sampling,1.0,100,1,0,4.592819219663055
diffusion_posterior_sampling,1.0,100,1,10,1.9991253769191761
diffusion_posterior_sampling,1.0,100,1,100,4.263310398506393
diffusion_posterior_sampling,1.0,100,1,101,6.359310592054459
diffusion_posterior_sampling,1.0,100,1,404,4.238293191035857
diffusion_posterior_sampling,1.0,100,1,1000,8.540736928624394
diffusion_posterior_sampling,1.0,100,2,0,1.7533474561484927
diffusion_posterior_sampling,1.0,100,2,10,2.73851800424741
diffusion_posterior_sampling,1.0,100,2,100,11.668330436904386
diffusion_posterior_sampling,1.0,100,2,101,6.327364256008207
diffusion_posterior_sampling,1.0,100,2,404,9.809461650807073
diffusion_posterior_sampling,1.0,100,2,1000,0.16636342478544774
diffusion_posterior_sampling,1.0,100,4,0,1.9464592158444336
diffusion_posterior_sampling,1.0,100,4,10,0.43472989261134143
diffusion_posterior_sampling,1.0,100,4,100,6.982294072646003
diffusion_posterior_sampling,1.0,100,4,101,3.671894853845617
diffusion_posterior_sampling,1.0,100,4,404,2.117098928861589
diffusion_posterior_sampling,1.0,100,4,1000,1.4588230852476038
pseudo_inverse_guidance,0.1,10,1,0,2.177254528434323
pseudo_inverse_guidance,0.1,10,1,10,1.8566324214702774
pseudo_inverse_guidance,0.1,10,1,100,3.7128843496122834
pseudo_inverse_guidance,0.1,10,1,101,0.17360976061965608
pseudo_inverse_guidance,0.1,10,1,404,1.8314198482384367
pseudo_inverse_guidance,0.1,10,1,1000,0.577248002055017
pseudo_inverse_guidance,0.1,10,2,0,2.9833909769493077
pseudo_inverse_guidance,0.1,10,2,10,0.3473345952031878
pseudo_inverse_guidance,0.1,10,2,100,1.933489838195208
pseudo_inverse_guidance,0.1,10,2,101,0.42294630821133744
pseudo_inverse_guidance,0.1,10,2,404,0.07127173988961948
pseudo_inverse_guidance,0.1,10,2,1000,0.06832144037783659
pseudo_inverse_guidance,0.1,10,4,0,0.044288702992739626
pseudo_inverse_guidance,0.1,10,4,10,0.06011703613175972
pseudo_inverse_guidance,0.1,10,4,100,3.7044034303422646
pseudo_inverse_guidance,0.1,10,4,101,0.04340084088441635
pseudo_inverse_guidance,0.1,10,4,404,0.07346756707989398
pseudo_inverse_guidance,0.1,10,4,1000,0.0649485624218023
pseudo_inverse_guidance,0.1,100,1,0,1.735416551601453
pseudo_inverse_guidance,0.1,100,1,10,0.45420075496513856
pseudo_inverse_guidance,0.1,100,1,100,4.111025435049892
pseudo_inverse_guidance,0.1,100,1,101,7.40391046778977
pseudo_inverse_guidance,0.1,100,1,404,0.9377413302999926
pseudo_inverse_guidance,0.1,100,1,1000,0.9421573730552787
pseudo_inverse_guidance,0.1,100,2,0,0.286567061253486
pseudo_inverse_guidance,0.1,100,2,10,0.06341745480115664
pseudo_inverse_guidance,0.1,100,2,100,1.8022960839247317
pseudo_inverse_guidance,0.1,100,2,101,5.246534146816513
pseudo_inverse_guidance,0.1,100,2,404,0.35520999879010523
pseudo_inverse_guidance,0.1,100,2,1000,0.05883787389088879
pseudo_inverse_guidance,0.1,100,4,0,0.4512891263478826
pseudo_inverse_guidance,0.1,100,4,10,0.056756395093307176
pseudo_inverse_guidance,0.1,100,4,100,0.20965467057511342
pseudo_inverse_guidance,0.1,100,4,101,1.2946471702027444
pseudo_inverse_guidance,0.1,100,4,404,0.05866903756619469
pseudo_inverse_guidance,0.1,100,4,1000,0.05445876986392433
pseudo_inverse_guidance,0.5,10,1,0,2.015366532161312
pseudo_inverse_guidance,0.5,10,1,10,2.722065784064077
pseudo_inverse_guidance,0.5,10,1,100,0.899541338662668
pseudo_inverse_guidance,0.5,10,1,101,0.4538842747069966
pseudo_inverse_guidance,0.5,10,1,404,0.6334766779269175
pseudo_inverse_guidance,0.5,10,1,1000,0.4175240213391189
pseudo_inverse_guidance,0.5,10,2,0,2.6957914435722663
pseudo_inverse_guidance,0.5,10,2,10,0.554622902668601
pseudo_inverse_guidance,0.5,10,2,100,1.8263944067779805
pseudo_inverse_guidance,0.5,10,2,101,0.7519258576139213
pseudo_inverse_guidance,0.5,10,2,404,0.4970074425471295
