method,sigma_y,dim_x,dim_y,seed,sliced_wasserstein_distance
diffusion_posterior_sampling,0.01,8,1,0,15.537678664748531
diffusion_posterior_sampling,0.01,8,1,1,0.9006951507551137
diffusion_posterior_sampling,0.01,8,1,10,4.328818152110073
diffusion_posterior_sampling,0.01,8,1,100,3.1101244454583874
diffusion_posterior_sampling,0.01,8,1,1000,2.0273982836115936
diffusion_posterior_sampling,0.01,8,2,0,0.1151333154908052
diffusion_posterior_sampling,0.01,8,2,1,0.1425955242896445
diffusion_posterior_sampling,0.01,8,2,10,0.696684788995057
diffusion_posterior_sampling,0.01,8,2,100,0.2672370724641456
diffusion_posterior_sampling,0.01,8,2,1000,0.2297890583706995
diffusion_posterior_sampling,0.01,8,4,0,0.1589622240083086
diffusion_posterior_sampling,0.01,8,4,1,0.0792542537595918
diffusion_posterior_sampling,0.01,8,4,10,0.1587050890300639
diffusion_posterior_sampling,0.01,8,4,100,0.1827851751973702
diffusion_posterior_sampling,0.01,8,4,1000,0.0561463355585182
diffusion_posterior_sampling,0.01,80,1,0,4.202095256460227
diffusion_posterior_sampling,0.01,80,1,1,3.854030918314729
diffusion_posterior_sampling,0.01,80,1,10,0.6606355552497476
diffusion_posterior_sampling,0.01,80,1,100,4.234646954617204
diffusion_posterior_sampling,0.01,80,1,1000,3.027917365701733
diffusion_posterior_sampling,0.01,80,2,0,0.4165021119624543
diffusion_posterior_sampling,0.01,80,2,1,2.5636352255434365
diffusion_posterior_sampling,0.01,80,2,10,0.9887925994373624
diffusion_posterior_sampling,0.01,80,2,100,0.4973382636676574
diffusion_posterior_sampling,0.01,80,2,1000,0.1396948284868857
diffusion_posterior_sampling,0.01,80,4,0,0.1082158756685956
diffusion_posterior_sampling,0.01,80,4,1,1.823680291445311
diffusion_posterior_sampling,0.01,80,4,10,0.390826972074739
diffusion_posterior_sampling,0.01,80,4,100,0.2115942120573295
diffusion_posterior_sampling,0.01,80,4,1000,0.1242051433332891
diffusion_posterior_sampling,0.1,8,1,0,15.67590475826629
diffusion_posterior_sampling,0.1,8,1,1,0.6848713837916798
diffusion_posterior_sampling,0.1,8,1,10,4.475891936957658
diffusion_posterior_sampling,0.1,8,1,100,4.345684361454723
diffusion_posterior_sampling,0.1,8,1,1000,1.3123804210655832
diffusion_posterior_sampling,0.1,8,2,0,0.1039204306576464
diffusion_posterior_sampling,0.1,8,2,1,0.1584403758589794
diffusion_posterior_sampling,0.1,8,2,10,0.3793654762830794
diffusion_posterior_sampling,0.1,8,2,100,0.6658480721671869
diffusion_posterior_sampling,0.1,8,2,1000,0.2824017367534868
diffusion_posterior_sampling,0.1,8,4,0,0.1824227639633466
diffusion_posterior_sampling,0.1,8,4,1,0.0945482040908078
diffusion_posterior_sampling,0.1,8,4,10,0.2149574842920917
diffusion_posterior_sampling,0.1,8,4,100,0.1644529051588606
diffusion_posterior_sampling,0.1,8,4,1000,0.2164744270360693
diffusion_posterior_sampling,0.1,80,1,0,4.6278225274362
diffusion_posterior_sampling,0.1,80,1,1,3.9048883839378687
diffusion_posterior_sampling,0.1,80,1,10,0.3985593220011267
diffusion_posterior_sampling,0.1,80,1,100,4.438929087086705
diffusion_posterior_sampling,0.1,80,1,1000,2.087203942973181
diffusion_posterior_sampling,0.1,80,2,0,0.3563842504887498
diffusion_posterior_sampling,0.1,80,2,1,2.406292066596562
diffusion_posterior_sampling,0.1,80,2,10,1.9733590393096565
diffusion_posterior_sampling,0.1,80,2,100,0.5363504372761612
diffusion_posterior_sampling,0.1,80,2,1000,0.1244364910191659
diffusion_posterior_sampling,0.1,80,4,0,0.1471617207537981
diffusion_posterior_sampling,0.1,80,4,1,1.9339524424611283
diffusion_posterior_sampling,0.1,80,4,10,0.3754477996458019
diffusion_posterior_sampling,0.1,80,4,100,0.2128056728770556
diffusion_posterior_sampling,0.1,80,4,1000,0.1308096206550611
diffusion_posterior_sampling,1.0,8,1,0,11.58101056294402
diffusion_posterior_sampling,1.0,8,1,1,8.217164753546625
diffusion_posterior_sampling,1.0,8,1,10,3.3390739496559725
diffusion_posterior_sampling,1.0,8,1,100,4.040516558296724
diffusion_posterior_sampling,1.0,8,1,1000,1.6600684545829862
diffusion_posterior_sampling,1.0,8,2,0,1.9524678150199488
diffusion_posterior_sampling,1.0,8,2,1,2.787778708042693
diffusion_posterior_sampling,1.0,8,2,10,2.4159000990992063
diffusion_posterior_sampling,1.0,8,2,100,5.337277666924599
diffusion_posterior_sampling,1.0,8,2,1000,0.5065220025744182
diffusion_posterior_sampling,1.0,8,4,0,1.852516155664689
diffusion_posterior_sampling,1.0,8,4,1,0.9200196575341968
diffusion_posterior_sampling,1.0,8,4,10,0.7507234378204046
diffusion_posterior_sampling,1.0,8,4,100,0.5305340877145437
diffusion_posterior_sampling,1.0,8,4,1000,1.2776870545334182
diffusion_posterior_sampling,1.0,80,1,0,8.010878222678395
